name,serving_size,calories(kcal),total_fat,saturated_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars,vegan,vegetarian,gluten_free,keto
"Eggplant, raw",100,25,0.2,0.0,0,0,0.98,5.88,3.0,3.53,No,Yes,Yes,Yes
"Cauliflower, raw",100,25,0.3,0.1,0,0,1.92,4.97,2.0,1.91,Yes,Yes,Yes,Yes
"Taro leaves, raw",100,42,0.7,0.2,0,0,4.98,6.7,3.7,3.01,Yes,Yes,Yes,Yes
"Lamb, raw, ground",100,282,23.0,10.0,73,0,16.56,0.0,0.0,0.0,No,No,Yes,Yes
"Goji berries, dried",100,349,0.4,0.0,0,0,14.26,77.06,13.0,45.61,Yes,Yes,Yes,No
"Quail, raw, meat only",100,134,4.5,1.3,70,0,21.76,0.0,0.0,0.0,No,No,Yes,Yes
"Peppers, raw, jalapeno",100,29,0.4,0.1,0,0,0.91,6.5,2.8,4.12,Yes,Yes,Yes,Yes
"Winged bean tuber, raw",100,148,0.9,0.2,0,0,11.6,28.1,0.0,0.0,Yes,Yes,Yes,No
"Grapes, raw, muscadine",100,57,0.5,0.0,0,0,0.81,13.93,3.9,0.0,Yes,Yes,Yes,No
"Nuts, raw, ginkgo nuts",100,182,1.7,0.3,0,0,4.32,37.6,0.0,0.0,Yes,Yes,Yes,No
"Ostrich, raw, top loin",100,119,3.0,1.2,75,0,21.67,0.0,0.0,0.0,No,No,Yes,Yes
"Nuts, dried, pine nuts",100,673,68.0,4.9,0,0,13.69,13.08,3.7,3.59,Yes,Yes,Yes,No
"Broccoli, raw, chinese",100,30,0.8,0.1,0,0,1.2,4.67,2.6,0.88,Yes,Yes,Yes,Yes
"Agave, raw (Southwest)",100,68,0.2,0.0,0,0,0.52,16.23,6.6,2.58,Yes,Yes,Yes,No
"Emu, raw, outside drum",100,103,0.5,0.1,78,0,23.08,0.0,0.0,0.0,Yes,Yes,Yes,Yes
"Nuts, dried, beechnuts",100,576,50.0,5.7,0,0,6.2,33.5,0.0,0.0,Yes,Yes,Yes,No
"Currants, dried, zante",100,283,0.3,0.0,0,0,4.08,74.08,6.8,67.28,Yes,Yes,Yes,No
"Lentils, raw, sprouted",100,106,0.6,0.1,0,0,8.96,22.14,0.0,0.0,Yes,Yes,Yes,No
"Fish, raw, sheepshead",100,108,2.4,0.6,50,0,20.21,0.0,0.0,0.0,No,No,Yes,Yes
"Brussels sprouts, raw",100,43,0.3,0.1,0,0,3.38,8.95,3.8,2.2,Yes,Yes,Yes,Yes
